ID,CorrectedLongitude,CorrectedLatitude
785,11.5558685155,48.1364842545
786,11.5558685155,48.1364842545
787,11.5558086213,48.1355304316
788,11.5559172104,48.1344053521
789,11.5557988,48.1330556991
790,11.5556825009,48.1326072
791,11.5553805,48.1316385125
792,11.5556728758,48.1303842559
793,11.5556726994,48.130284256
794,11.5557449592,48.128927597
795,11.555736,48.1287278
796,11.5556721307,48.1286093357
797,11.5569860613,48.127453854
798,11.5581645436,48.1262385691
799,11.5568765898,48.1253018044
800,11.5559748,48.124442
801,11.5548459556,48.1235932363
802,11.554865021,48.1234145502
803,11.5549536071,48.1233681563
804,11.5549536071,48.1233681563
805,11.5550421081,48.1233215993
806,11.5547981324,48.1233347864
807,11.5547981324,48.1233347864
808,11.554721217,48.12327088
809,11.5547981324,48.1233347864
810,11.5547981324,48.1233347864
811,11.5549536071,48.1233681563
812,11.5549536071,48.1233681563
813,11.5549536071,48.1233681563
814,11.554721217,48.12327088
815,11.5550421081,48.1233215993
816,11.5550421081,48.1233215993
817,11.5549536071,48.1233681563
818,11.5549536071,48.1233681563
819,11.5549536071,48.1233681563
820,11.5549536071,48.1233681563
821,11.5549536071,48.1233681563
822,11.5549536071,48.1233681563
823,11.5549536071,48.1233681563
824,11.5549536071,48.1233681563
825,11.554721217,48.12327088
826,11.5548750478,48.1233986927
827,11.5547981324,48.1233347864
828,11.5547981324,48.1233347864
829,11.5543873935,48.1232063121
830,11.5545999152,48.1231876641
831,11.5553076114,48.1231819283
832,11.5546427,48.1231658
833,11.5544631505,48.1232715848
834,11.5544631505,48.1232715848
835,11.554721217,48.12327088
836,11.554721217,48.12327088
837,11.5545329685,48.1232551783
838,11.5545329685,48.1232551783
839,11.5545329685,48.1232551783
840,11.5545329685,48.1232551783
841,11.5545329685,48.1232551783
842,11.5545329685,48.1232551783
843,11.5545329685,48.1232551783
844,11.5545329685,48.1232551783
845,11.5545329685,48.1232551783
846,11.5545329685,48.1232551783
847,11.5545329685,48.1232551783
848,11.5545329685,48.1232551783
849,11.555587454,48.1244234666
850,11.555587454,48.1244234666
851,11.5546750388,48.1261793947
852,11.5572582978,48.1258268341
853,11.5578530783,48.125879404
854,11.5581128,48.1262032
855,11.5579045,48.1264237
856,11.557758778,48.1271107253
857,11.5570595456,48.1273860303
858,11.5567666677,48.1276584646
859,11.5567666677,48.1276584646
860,11.5560907519,48.1283102058
861,11.5557752519,48.1295268319
862,11.5557871587,48.1305969544
863,11.5560876604,48.1319289659
864,11.5557988,48.1331556991
865,11.5559111227,48.1338053864
866,11.5561919553,48.1345683491
867,11.5561357074,48.1347979036
868,11.5552379735,48.1356591325
869,11.5558496641,48.135895236
870,11.555502712,48.1374990983
871,11.5556027091,48.1374983342
872,11.5563815513,48.1369188853
873,11.5560821093,48.138407163
874,11.5560480639,48.1393620924
875,11.5559610134,48.1395048151
876,11.5572209803,48.1411613168
877,11.5562947693,48.1420961988
878,11.5563336936,48.1429208834
879,11.5563336936,48.1429208834
880,11.5561523015,48.1425643769
881,11.5595791,48.1420064
882,11.5610147805,48.1419539343
883,11.5609161207,48.1419702514
884,11.563400445,48.1413251388
885,11.5648020106,48.1409967604
886,11.5654708614,48.1407902695
887,11.5661328297,48.1405634294
888,11.5660657674,48.1404701477
889,11.5665614977,48.1404819187
